diario|snippet|time|title|svm_prediction|year|id_news
|Nos preguntamos: ¿el ingreso a la universidad es un sistema de avance o de un retroceso? El sistema de ingreso a las carreras universitarias públicas en el ...|21 jul. 2018 -|"El acceso a las universidades públicas | Cartas al Director | Opinión ..."|educ||
|Es una deuda, sin duda. Vidas marcadas. Mi función como Gobierno es reparar esa deuda”, dice Augusto Barrera, titular de la Secretaría Nacional de ...|10 jun. 2018 -|"Augusto Barrera: 40 mil jóvenes no logran ir a universidad | Informes ..."|educ||
| El acuerdo entre las universidades públicas y el Gobierno para que no se recorte el presupuesto de 2019, no frenó la marcha organizada en la que también ...|21 nov. 2018 -|Unos 16.000 alumnos de la Universidad de Cuenca marcharon por el ...|educ||
|Ofertar programas de posgrado, acceder a mejores recursos y la posibilidad de generar convenios con varias instituciones son algunas de las ventajas con las ...|6 sep. 2016 -|"Universidad de Guayaquil sube a la categoría B | Gran Guayaquil ..."|educ||
|Cabizbajos e indignados, ayer 40 de 170 egresados de Odontología pugnaban en los exteriores de su decanato por intentar gestionar las firmas de actas que ...|10 oct. 2018 -|Egresados, en dificultades por pugna en la Universidad de Guayaquil ...|educ||
|El Consejo de Educación Superior (CES) será la autoridad encargada de decidir la prorrogación de la intervención en la Universidad de Guayaquil una vez ...|7 dic. 2018 -|Diagnóstico de Universidad de Guayaquil, con presente 'agravado ...|educ||
|Con 100 votos a favor, el pleno de la Asamblea Nacional aprobó este martes en segundo debate la Ley de creación de la Universidad Del Río, que funcionará ...|20 nov. 2018 -|Ley de Universidad del Río se aprobó por unanimidad en la ...|educ||
|El rector de la Universidad de Guayaquil, Roberto Passailaigue, anunció este viernes los nombres de los decanos y vicedecanos de 14 facultades que tiene la ...|26 oct. 2018 -|"La Universidad de Guayaquil tiene 14 nuevos decanos | Comunidad ..."|educ||
|A las 17:30 del martes 4 de julio, en plena mitad del primer semestre del año lectivo, decenas de estudiantes, en su mayoría oficinistas, avanzan por la puerta ...|7 jul. 2017 -|53 mil alumnos forjan pasos en la Universidad de Guayaquil ...|educ||
|La Universidad Santa María, ubicada en el km 4,5 de la av. Carlos Julio Arosemena, cierra obligadamente sus puertas. Así lo anunció este miércoles 07 de ...|7 feb. 2018 -|Jaime Nebot sobre cierre de Universidad Santa María: A esta ...|educ||
|CES aprueba nueva intervención a la Universidad de Guayaquil. En Quito, diez votos del Consejo de Educación Superior decidieron la presencia de una ...|15 oct. 2018 -|CES aprueba nueva intervención a la Universidad de Guayaquil ...|educ||
|Universidad de Guayaquil Ahora con matriculación en línea. Las matrículas ordinarias serán del 13 al 24 de abril, las extraordinarias del 27 de abril al 8 de ...|15 ene. 2015 -|"Requisitos para entrar a la universidad | Viva | Noticias | El Universo"|educ||
